wikipedia_title,mentioned_in_agent,possible_agent_norm,match_score
Jean-Antoine Gros,Panthéon,"guer, jean-antoine",0.8889
Jean Zay,Panthéon,"gay, jean",0.8889
Thomas Arne,"grétry, andré ernest modeste","parnell, thomas",0.8889
William Petty,Classical economics,"pitt, william",0.8889
Christian Friedrich Weber,Criticism of Judaism,"gessner, christian friedrich",0.8889
Thomas Chenery,hariri,"thomas, henry",0.8889
Franz Woken,William Whiston,"wokenius, franz",0.8889
Gordon Duff,"duff, e. gordon","duff, e. gordon",0.8889
Talk:Christoph Cellarius,"cellarius, christoph","cellarius, christoph",0.8889
John Marshall,"hawthorne, nathaniel","marsham, john",0.8889
John T. Selden,"selden, john","selden, john",0.8889
James Carley,"vergil, polydore","carlile, james",0.8889
Jean-Baptiste Surian,"alembert, jean le rond d'","jourdan, jean-baptiste",0.8837
Talk:Lodovico Domenichi,"domenichi, lodovico","domenichi, lodovico",0.8837
Albert Einstein,"pestalozzi, johann heinrich","ehrenstein, albert",0.8824
Guillaume Bruère,"frisch, max","debure, guillaume",0.8824
Pope Alexander III,Prester John,"pope, alexander",0.8824
François Bouchot,Battle of Novi (1799),"boucher, françois",0.8824
Francesco Vettori,"machiavelli, niccolò","torti, francesco",0.8824
Guillaume Guizot,"guizot, françois","guiart, guillaume",0.8824
Joanna Richardson,"gautier, théophile","richardson, john",0.8824
Christian Bernard,Rosicrucianism,"bernard, tristan",0.8824
Old Catholic Church,Ecclesiology,catholic church,0.8824
British War Library,British Library,british library,0.8824
Joannes Secundus,Erotic literature,"jucundus, joannes",0.8824
Pope Alexander VII,yohannes,"pope, alexander",0.8824
John Hardon,Fundamental theology,"chardin, john",0.88
Isaac Newton,cambridge university library,"nieto, isaac",0.88
John Dowland,John Donne,"toland, john",0.88
Morris Louis,"miró, joan","moréri, louis",0.88
Louis Moritz,"voorst, johannes van","morin, louis",0.88
Jean Moulin,"jacob, max","molinet, jean",0.88
Pierre Crozat,"watteau, antoine","cot, pierre",0.88
Jean Monnet,Panthéon,"molinet, jean",0.88
Louis Capet,"fouché, joseph","cappel, louis",0.88
Johann Friedrich Dryander,"jourdan, jean-baptiste","gruner, johann friedrich",0.88
Henry Morse,"bellarmino, roberto francesco romolo","morris, henry",0.88
Pierre Bost,"rey, henri françois","coste, pierre",0.88
Gerard Soest,"William Russell, Lord Russell","hoet, gerard",0.88
Johann Heinrich Winckler,Shechita,"winckler, johann dietrich",0.88
John Legate,cambridge university press,"lydgate, john",0.88
Alfred Barr,"chagall, marc","jarry, alfred",0.88
Johann Georg Gichtel,John Sparrow (translator),"abicht, johann georg",0.878
Talk:Gilbert Génébrard,"génébrard, gilbert","génébrard, gilbert",0.878
Christian Friedrich Giesecke,Schelter & Giesecke Type Foundry,"gessner, christian friedrich",0.8772
Heinrich Brunner,Germanic law,"braun, heinrich",0.875
Real Academia de la Historia,Cholera,real academia de la historia (spain),0.875
Johann Gottfried Gruber,"בן זאב, יהודה ליב","herder, johann gottfried",0.875
Hermann Göring,Art forgery,"degering, hermann",0.875
Johann Bernoulli,"alembert, jean le rond d'","bernoulli, jean",0.875
Gerhard Johann Vossius,"grotius, hugo","vossius, gerardus joannes",0.875
James Matheson,nederlandsche oost-indische compagnie,"macpherson, james",0.875
Sir Francis Bacon,"rawley, william","bacon, francis",0.875
Hans Rosenberg,Militarism,"rosenberg, johann",0.875
